item_id,title,clean_title,genres
1,Toy Story (1995),toy story,"Animation, Children, Comedy"
2,GoldenEye (1995),goldeneye,"Action, Adventure, Thriller"
3,Four Rooms (1995),four rooms,Thriller
4,Get Shorty (1995),get shorty,"Action, Comedy, Drama"
5,Copycat (1995),copycat,"Crime, Drama, Thriller"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),shanghai triad yao yao yao dao waipo qiao,Drama
7,Twelve Monkeys (1995),twelve monkeys,"Drama, Sci-Fi"
8,Babe (1995),babe,"Children, Comedy, Drama"
9,Dead Man Walking (1995),dead man walking,Drama
10,Richard III (1995),richard iii,"Drama, War"
11,Seven (Se7en) (1995),seven se7en,"Crime, Thriller"
12,"Usual Suspects, The (1995)",usual suspects,"Crime, Thriller"
13,Mighty Aphrodite (1995),mighty aphrodite,Comedy
14,"Postino, Il (1994)",postino,"Drama, Romance"
15,Mr. Holland's Opus (1995),hollands opus,Drama
16,French Twist (Gazon maudit) (1995),french twist gazon maudit,"Comedy, Romance"
17,From Dusk Till Dawn (1996),dusk till dawn,"Action, Comedy, Crime, Horror, Thriller"
18,"White Balloon, The (1995)",white balloon,Drama
19,Antonia's Line (1995),antonias line,Drama
20,Angels and Insects (1995),angels insects,"Drama, Romance"
21,Muppet Treasure Island (1996),muppet treasure island,"Action, Adventure, Comedy, Musical, Thriller"
22,Braveheart (1995),braveheart,"Action, Drama, War"
23,Taxi Driver (1976),taxi driver,"Drama, Thriller"
24,Rumble in the Bronx (1995),rumble bronx,"Action, Adventure, Crime"
25,"Birdcage, The (1996)",birdcage,Comedy
26,"Brothers McMullen, The (1995)",brothers mcmullen,Comedy
27,Bad Boys (1995),bad boys,Action
28,Apollo 13 (1995),apollo,"Action, Drama, Thriller"
29,Batman Forever (1995),batman forever,"Action, Adventure, Comedy, Crime"
30,Belle de jour (1967),belle jour,Drama
31,Crimson Tide (1995),crimson tide,"Drama, Thriller, War"
32,Crumb (1994),crumb,Documentary
33,Desperado (1995),desperado,"Action, Romance, Thriller"
34,"Doom Generation, The (1995)",doom generation,"Comedy, Drama"
35,Free Willy 2: The Adventure Home (1995),free willy adventure home,"Adventure, Children, Drama"
36,Mad Love (1995),mad love,"Drama, Romance"
37,Nadja (1994),nadja,Drama
38,"Net, The (1995)",net,"Sci-Fi, Thriller"
39,Strange Days (1995),strange days,"Action, Crime, Sci-Fi"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",wong foo thanks everything julie newmar,Comedy
41,Billy Madison (1995),billy madison,Comedy
42,Clerks (1994),clerks,Comedy
43,Disclosure (1994),disclosure,"Drama, Thriller"
44,Dolores Claiborne (1994),dolores claiborne,"Drama, Thriller"
45,Eat Drink Man Woman (1994),eat drink man woman,"Comedy, Drama"
46,Exotica (1994),exotica,Drama
47,Ed Wood (1994),wood,"Comedy, Drama"
48,Hoop Dreams (1994),hoop dreams,Documentary
49,I.Q. (1994),,"Comedy, Romance"
50,Star Wars (1977),star wars,"Action, Adventure, Romance, Sci-Fi, War"
51,Legends of the Fall (1994),legends fall,"Drama, Romance, War, Western"
52,"Madness of King George, The (1994)",madness king george,Drama
53,Natural Born Killers (1994),natural born killers,"Action, Thriller"
54,Outbreak (1995),outbreak,"Action, Drama, Thriller"
55,"Professional, The (1994)",professional,"Crime, Drama, Romance, Thriller"
56,Pulp Fiction (1994),pulp fiction,"Crime, Drama"
57,Priest (1994),priest,Drama
58,Quiz Show (1994),quiz show,Drama
59,Three Colors: Red (1994),three colors red,Drama
60,Three Colors: Blue (1993),three colors blue,Drama
61,Three Colors: White (1994),three colors white,Drama
62,Stargate (1994),stargate,"Action, Adventure, Sci-Fi"
63,"Santa Clause, The (1994)",santa clause,"Children, Comedy"
64,"Shawshank Redemption, The (1994)",shawshank redemption,Drama
65,What's Eating Gilbert Grape (1993),whats eating gilbert grape,"Comedy, Drama"
66,While You Were Sleeping (1995),sleeping,"Comedy, Romance"
67,Ace Ventura: Pet Detective (1994),ace ventura pet detective,Comedy
68,"Crow, The (1994)",crow,"Action, Romance, Thriller"
